"remote_id","acousticness","danceability","energy","instrumentalness","track_key","liveness","mode","popularity","speechiness","tempo","valence","album_year","genres"
"6ZDxw5c9LtGYwO4Wye6YrO","0.0029500001","0.6069999933","0.6610000134","0.81400001049042","9","0.3190000057","0","0","0.0599999987","130.022995","0.202000007","2016","dark progressive house"
"1Z1Rmu6EPuroTfU4cQMk9d","0.4390000105","0.621999979","0.5929999948","0.9210000038147","10","0.0976999998","1","0","0.0386999995","128","0.0843999982","2016","dark progressive house"
"5qeYJ7yga3lNrLTzdOgd8S","0.0645999983","0.7030000091","0.7590000033","0.01960000023246","5","0.0888999999","1","1","0.0344000012","139.99299622","0.4990000129","2016","dark progressive house"
"086WqNFp1PMPA3Yu38AA5K","0.00291","0.7779999971","0.6179999709","0.90700000524521","1","0.0877000019","1","0","0.0631000027","128.01600647","0.0799999982","2016","deep progressive house"
"3iUvQfONQSfOoVwFasljrZ","0.0355999991","0.8399999738","0.5370000005","0.91699999570847","5","0.0705000013","0","0","0.0785000026","124.98999786","0.4199999869","2016","dark progressive house"
"5Q4Cummx04zQDrqtfca4V4","0.0022100001","0.6869999766","0.9570000172","0.83899998664856","6","0.0887999982","1","0","0.0381000005","128.00700378","0.7200000286","2016","skinhead reggae"
"3LF7vSABZ3MaRH71acGcPw","7.26e-5","0.7459999919","0.8529999852","0.84200000762939","7","0.2899999917","0","0","0.0771000013","125.98999786","0.5690000057","2016","reggaeton"
"4qGeVBYBGLhy9FhYnW2yof","0.1190000027","0.7699999809","0.4950000048","0","0","0.3129999936","1","2","0.0935000032","81.125999451","0.8840000033","2016","tribal house"
"52vpDibZnkvFqWjaFzsuj3","0.0092900004","0.7810000181","0.7670000196","0.62300002574921","8","0.2700000107","1","5","0.0601000004","124.95300293","0.8920000196","2016","chalga"
"1PIzfOpDf3E8tes3dqxDJW","0.0199999996","0.7329999804","0.5780000091","0.87900000810623","0","0.0983999968","1","0","0.0540000014","89.98500061","0.7139999866","2016","ambient dub techno"
"1BNu9khEASOZ5xcpkhQe55","2.14e-4","0.80400002","0.7910000086","0.92500001192093","11","0.0395999998","1","0","0.1000000015","125.02999878","0.8489999771","2016","j-core"
"4DJBbEi0ccxVJlAbgj6mb7","7.11e-4","0.7969999909","0.6420000196","0.89700001478195","11","0.0816999972","0","0","0.0861999989","127.98899841","0.9599999785","2016","breaks"
"7tBIGxtCFoPuKU9gTiHQZw","1.09e-4","0.7990000248","0.9800000191","0.18500000238419","11","0.1280000061","0","0","0.0364000015","123.9960022","0.6729999781","2016","breaks"
"32MdiBZSjeHOxBHaREVA2q","1.41e-4","0.8180000186","0.875","0.55400002002716","9","0.150000006","1","0","0.0568999983","120.00700378","0.3000000119","2016","hard trance"
"3AnPha2liPv2CkFeqSHpml","3.8999999e-5","0.4959999919","0.7189999819","0.88300001621246","5","0.0782999992","0","0","0.0456999987","138.0039978","0.5389999747","2016","j-core"
"5dgpCBgpsP4m09pn5ejVub","0.00241","0.8000000119","0.7910000086","0.28499999642372","1","0.0732000023","1","0","0.1070000008","127.97499847","0.4979999959","2016","hard house"
"53RQrQRThOUV6YP5rmgeiV","0.0019","0.7860000134","0.6880000234","0.22300000488758","11","0.0333999991","0","0","0.1230000034","126.01100159","0.7020000219","2016","brazilian indie"
"48DujyvS27ExVVLJbRjsDm","0.0133999996","0.8059999943","0.2829999924","0.79799997806549","10","0.0496999994","0","0","0.1550000012","119.99199677","0.3019999862","2016","breaks"
"4D7IsQZRJx8aPB8XWnv4cp","0.8360000253","0.5389999747","0.7839999795","0.841000020504","2","0.126000002","0","4","0.0750999972","198.55999756","0.625","2016","new beat"
"3IFw6IO58Cj9UIznf7tAdI","0.0178999994","0.5210000277","0.9139999747","0.78899997472763","4","0.2310000062","0","0","0.0489999987","144.98199463","0.3549999893","2016","chaotic hardcore"
"2yQXMkSnU2NmGA53R0X9xo","0.2119999975","0.7220000029","0.4440000057","0.85500001907349","0","0.0878999978","1","3","0.0568999983","170.05200195","0.6669999957","2016","canterbury scene"
"2cdOfx4bVxY3wNiMXehL1B","0.0152000003","0.7459999919","0.7950000167","0.91500002145767","5","0.1080000028","0","1","0.0430999994","119.98600006","0.6899999976","2016","zolo"
"2LZtTgG3WYKKHtA6U5DDzz","0.0081399996","0.6190000176","0.7440000176","3.8999998651e-5","0","0.3930000067","1","0","0.1430000067","127.02200317","0.2419999987","2016","canterbury scene"
"5vWe04YUBuxBFlG565YXJ9","0.0091599999","0.80400002","0.8270000219","0.7950000166893","11","0.0653000027","0","0","0.0593000017","125.0019989","0.4880000055","2016","forro"
"4ytUCbBN38SGFvzKQ0IUHt","0.00844","0.675999999","0.5580000281","0.78500002622604","9","0.1070000008","0","0","0.0626000017","180.14700317","0.5649999976","2016","brazilian pop music"
"1SFAYTdxEVWGeqdKbWqEd4","1.57e-4","0.8069999814","0.5389999747","0.81599998474121","11","0.0511999987","0","1","0.0786999986","123.01899719","0.2870000005","2016","brazilian pop music, mpb"
"03BtkMRqoblKz3YywimHoW","0.8059999943","0.6090000272","0.6669999957","0.9190000295639","9","0.1209999993","0","1","0.0463999994","119.97799683","0.7310000062","2016","forro, samba"
"2RO9fBbyGDbJFor74DGHpH","0.0086200004","0.7549999952","0.6169999838","0","6","0.1010000035","1","1","0.0762000009","125.43199921","0.4589999914","2016","alternative r&b"
"0U0cpmsbzg3mAZkfDAP8zF","0.0152000003","0.7459999919","0.7950000167","0.91500002145767","5","0.1080000028","0","0","0.0430999994","119.98600006","0.6899999976","2016","ambient trance"
"1df6l5rHkxBXIWe3TvVEnW","0.1800000072","0.6819999814","0.4219999909","0.8309999704361","0","0.1080000028","1","0","0.0529000014","123.06900024","0.5770000219","2016","outer hip hop"
"11Tqtw10LmQZzAIxZ7rV0J","0.0020000001","0.7870000005","0.5099999905","0.90399998426437","0","0.0998999998","1","0","0.0467000008","119.98200226","0.6129999757","2016","complextro"
"1edocMwyevHlwrDjoSjEzV","0.0147000002","0.7960000038","0.9539999962","0.88200002908707","2","0.0683000013","0","0","0.0557999983","128.01199341","0.7089999914","2016","ambient trance"
"53i5wZd7lq9Pbw0feMXDSB","0.0227000006","0.84799999","0.2240000069","0.71399998664856","5","0.1190000027","0","0","0.0857999995","120.0039978","0.1439999938","2016","deep breakcore"
